"","vcf_order","isolate","isolate_vcf","label_raxml","location","lon","lat","Region","region_noaa","region_IPCC","Country","Location","State_Department","Host","municipality_resolution","Municipality","field","clade","subclade","Genetic_Cluster","source","comments","google_maps","rndCoord.lon","rndCoord.lat","ClimateZ","ClimateZ.1"
"54",55,"MpSDSU ","MpSDSU_R1","MpSDSU_R1","Brookings County, SD",-96.801,44.438,"North","West North Central","CNA","US","West North Central  US","SD","Brassica carinata","yes","Brookings County, SD","Unknown","US","US2","US2","Febina Mathew - SD state U","","",-96.7916666666667,44.4305555555556,"Dfa",21
"55",56,"Mph_21 ","Mph_21_R1","Mph_21_R1","Sena - Centro Agropecuario Buga, Buga - Valle del Cauca, Colombia",-76.312,3.892,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Buga, VAC","10","COLPR","COLPR2","COLPR2","Gloria Mosquera - CIAT","","",-76.3194444444444,3.90277777777779,"Am",3
"56",57,"Mph_22 ","Mph_22_R1","Mph_22_R1","Sena - Centro Agropecuario Buga, Buga - Valle del Cauca, Colombia",-76.312,3.892,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Buga, VAC","10","US","US1","US1B","Gloria Mosquera - CIAT","","",-76.3194444444444,3.90277777777779,"Am",3
"57",58,"Mph_23 ","Mph_23_R1","Mph_23_R1","Sena - Centro Agropecuario Buga, Buga - Valle del Cauca, Colombia",-76.312,3.892,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Buga, VAC","10","US","US1","US1B","Gloria Mosquera - CIAT","","",-76.3194444444444,3.90277777777779,"Am",3
"58",59,"Mph_24 ","Mph_24_R1","Mph_24_R1","Santander de Quilichao, Cauca, Colombia",-76.485,3.012,"Colombia","Colombia","NWS","COL","Colombia","CAU","Dry bean","yes","Santander de Quilichao, CAU","5","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-76.4861111111111,3.01388888888889,"As",2
"59",60,"Mph_27 ","Mph_27_R1","Mph_27_R1","CIAT, Palmira, Colombia",-76.355,3.503,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Palmira, VAC","12","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-76.3472222222222,3.51388888888889,"Af",3
"60",61,"Mph_28 ","Mph_28_R1","Mph_28_R1","CIAT, Palmira, Colombia",-76.355,3.503,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Palmira, VAC","12","COLPR","COLPR2","COLPR2","Gloria Mosquera - CIAT","","",-76.3472222222222,3.51388888888889,"Af",3
"61",62,"Mph_35 ","Mph_35_R1","Mph_35_R1","CIAT, Palmira, Colombia",-76.355,3.503,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Palmira, VAC","12","COLPR","COLPR2","COLPR2","Gloria Mosquera - CIAT","","",-76.3472222222222,3.51388888888889,"Af",3
"62",63,"Mph_38 ","Mph_38_R1","Mph_38_R1","CIAT, Palmira, Colombia",-76.355,3.503,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Palmira, VAC","12","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-76.3472222222222,3.51388888888889,"Af",3
"63",64,"Mph_39 ","Mph_39_R1","Mph_39_R1","CIAT, Palmira, Colombia",-76.355,3.503,"Colombia","Colombia","NWS","COL","Colombia","VAC","Dry bean","yes","Palmira, VAC","12","COLPR","COLPR1","COLPR1","Gloria Mosquera - CIAT","","",-76.3472222222222,3.51388888888889,"Af",3
